"","id","pop"
"246","HG00474","CHS"
"247","HG00475","CHS"
"248","HG00476","CHS"
"249","HG00477","CHS"
"250","HG00478","CHS"
"251","HG00479","CHS"
"252","HG00480","CHS"
"253","HG00500","CHS"
"254","HG00501","CHS"
"255","HG00502","CHS"
"256","HG00512","CHS"
"257","HG00513","CHS"
"258","HG00514","CHS"
"259","HG00524","CHS"
"260","HG00525","CHS"
"261","HG00526","CHS"
"262","HG00530","CHS"
"263","HG00531","CHS"
"264","HG00532","CHS"
"265","HG00533","CHS"
"266","HG00534","CHS"
"267","HG00535","CHS"
"268","HG00536","CHS"
"269","HG00537","CHS"
"270","HG00538","CHS"
"271","HG00542","CHS"
"272","HG00543","CHS"
"273","HG00544","CHS"
"274","HG00551","PUR"
"275","HG00552","PUR"
"276","HG00553","PUR"
"277","HG00554","PUR"
"278","HG00555","PUR"
"279","HG00556","CHS"
"280","HG00557","CHS"
"281","HG00558","CHS"
"282","HG00559","CHS"
"283","HG00560","CHS"
"284","HG00561","CHS"
"285","HG00565","CHS"
"286","HG00566","CHS"
"287","HG00567","CHS"
"288","HG00577","CHS"
"289","HG00578","CHS"
"290","HG00579","CHS"
"291","HG00580","CHS"
"292","HG00581","CHS"
"293","HG00582","CHS"
"294","HG00583","CHS"
"295","HG00584","CHS"
"296","HG00585","CHS"
"297","HG00589","CHS"
"298","HG00590","CHS"
"299","HG00591","CHS"
"300","HG00592","CHS"
"301","HG00593","CHS"
"302","HG00594","CHS"
"303","HG00595","CHS"
"304","HG00596","CHS"
"305","HG00597","CHS"
"306","HG00598","CHS"
"307","HG00599","CHS"
"308","HG00600","CHS"
"309","HG00607","CHS"
"310","HG00608","CHS"
"311","HG00609","CHS"
"312","HG00610","CHS"
"313","HG00611","CHS"
"314","HG00612","CHS"
"315","HG00613","CHS"
"316","HG00614","CHS"
"317","HG00615","CHS"
"318","HG00619","CHS"
"319","HG00620","CHS"
"320","HG00621","CHS"
"321","HG00622","CHS"
"322","HG00623","CHS"
"323","HG00624","CHS"
"324","HG00625","CHS"
"325","HG00626","CHS"
"326","HG00627","CHS"
"327","HG00628","CHS"
"328","HG00629","CHS"
"329","HG00630","CHS"
"330","HG00631","CHS"
"331","HG00632","CHS"
"332","HG00633","CHS"
"333","HG00634","CHS"
"334","HG00635","CHS"
"335","HG00636","CHS"
"336","HG00637","PUR"
"337","HG00638","PUR"
"338","HG00639","PUR"
"339","HG00640","PUR"
"340","HG00641","PUR"
"341","HG00642","PUR"
"342","HG00650","CHS"
"343","HG00651","CHS"
"344","HG00652","CHS"
"345","HG00653","CHS"
"346","HG00654","CHS"
"347","HG00655","CHS"
"348","HG00656","CHS"
"349","HG00657","CHS"
"350","HG00658","CHS"
"351","HG00662","CHS"
"352","HG00663","CHS"
"353","HG00664","CHS"
"354","HG00671","CHS"
"355","HG00672","CHS"
"356","HG00673","CHS"
"357","HG00674","CHS"
"358","HG00675","CHS"
"359","HG00676","CHS"
"360","HG00683","CHS"
"361","HG00684","CHS"
"362","HG00685","CHS"
"363","HG00689","CHS"
"364","HG00690","CHS"
"365","HG00691","CHS"
"366","HG00692","CHS"
"367","HG00693","CHS"
"368","HG00694","CHS"
"369","HG00698","CHS"
"370","HG00699","CHS"
"371","HG00700","CHS"
"372","HG00701","CHS"
"373","HG00702","CHS"
"374","HG00703","CHS"
"375","HG00704","CHS"
"376","HG00705","CHS"
"377","HG00706","CHS"
"378","HG00707","CHS"
"379","HG00708","CHS"
"380","HG00709","CHS"
"381","HG00716","CHS"
"382","HG00717","CHS"
"383","HG00718","CHS"
"384","HG00728","CHS"
"385","HG00729","CHS"
"386","HG00730","CHS"
"387","HG00731","PUR"
"388","HG00732","PUR"
"389","HG00733","PUR"
"390","HG00734","PUR"
"391","HG00735","PUR"
"392","HG00736","PUR"
"393","HG00737","PUR"
"394","HG00738","PUR"
"395","HG00739","PUR"
"396","HG00740","PUR"
"397","HG00741","PUR"
"398","HG00742","PUR"
"399","HG00743","PUR"
"400","HG00759","CDX"
"401","HG00766","CDX"
"402","HG00844","CDX"
"403","HG00851","CDX"
"404","HG00864","CDX"
"405","HG00866","CDX"
"406","HG00867","CDX"
"407","HG00879","CDX"
"408","HG00881","CDX"
"409","HG00956","CDX"
"410","HG00978","CDX"
"411","HG00982","CDX"
"412","HG00983","CDX"
"413","HG01028","CDX"
"414","HG01029","CDX"
"415","HG01031","CDX"
"416","HG01046","CDX"
"417","HG01047","PUR"
"418","HG01048","PUR"
"419","HG01049","PUR"
"420","HG01050","PUR"
"421","HG01051","PUR"
"422","HG01052","PUR"
"423","HG01053","PUR"
"424","HG01054","PUR"
"425","HG01055","PUR"
"426","HG01056","PUR"
"427","HG01058","PUR"
"428","HG01060","PUR"
"429","HG01061","PUR"
"430","HG01062","PUR"
"431","HG01063","PUR"
"432","HG01064","PUR"
"433","HG01066","PUR"
"434","HG01067","PUR"
"435","HG01068","PUR"
"436","HG01069","PUR"
"437","HG01070","PUR"
"438","HG01071","PUR"
"439","HG01072","PUR"
"440","HG01073","PUR"
"441","HG01074","PUR"
"442","HG01075","PUR"
"443","HG01077","PUR"
"444","HG01079","PUR"
"445","HG01080","PUR"
"446","HG01081","PUR"
"447","HG01082","PUR"
"448","HG01083","PUR"
"449","HG01084","PUR"
"450","HG01085","PUR"
"451","HG01086","PUR"
"452","HG01087","PUR"
"453","HG01088","PUR"
"454","HG01089","PUR"
"455","HG01090","PUR"
"456","HG01092","PUR"
"457","HG01094","PUR"
"458","HG01095","PUR"
"459","HG01096","PUR"
"460","HG01097","PUR"
"461","HG01098","PUR"
"462","HG01099","PUR"
"463","HG01100","PUR"
"464","HG01101","PUR"
"465","HG01102","PUR"
"466","HG01103","PUR"
"467","HG01104","PUR"
"468","HG01105","PUR"
"469","HG01106","PUR"
"470","HG01107","PUR"
"471","HG01108","PUR"
"472","HG01109","PUR"
"473","HG01110","PUR"
"474","HG01111","PUR"
"475","HG01112","CLM"
"476","HG01113","CLM"
"477","HG01114","CLM"
"478","HG01119","CLM"
"479","HG01121","CLM"
"480","HG01122","CLM"
"481","HG01123","CLM"
"482","HG01124","CLM"
"483","HG01125","CLM"
"484","HG01126","CLM"
"485","HG01130","CLM"
"486","HG01131","CLM"
"487","HG01133","CLM"
"488","HG01134","CLM"
"489","HG01135","CLM"
"490","HG01136","CLM"
"491","HG01137","CLM"
"492","HG01138","CLM"
"493","HG01139","CLM"
"494","HG01140","CLM"
"495","HG01141","CLM"
"496","HG01142","CLM"
"497","HG01148","CLM"
"498","HG01149","CLM"
"499","HG01150","CLM"
"500","HG01161","PUR"
"501","HG01162","PUR"
"502","HG01164","PUR"
"503","HG01167","PUR"
"504","HG01168","PUR"
"505","HG01169","PUR"
"506","HG01170","PUR"
"507","HG01171","PUR"
"508","HG01172","PUR"
"509","HG01173","PUR"
"510","HG01174","PUR"
"511","HG01175","PUR"
"512","HG01176","PUR"
"513","HG01177","PUR"
"514","HG01178","PUR"
"515","HG01182","PUR"
"516","HG01183","PUR"
"517","HG01184","PUR"
"518","HG01187","PUR"
"519","HG01188","PUR"
"520","HG01189","PUR"
"521","HG01190","PUR"
"522","HG01191","PUR"
"523","HG01192","PUR"
"524","HG01195","PUR"
"525","HG01197","PUR"
"526","HG01198","PUR"
"527","HG01199","PUR"
"528","HG01200","PUR"
"529","HG01204","PUR"
"530","HG01205","PUR"
"531","HG01206","PUR"
"532","HG01241","PUR"
"533","HG01242","PUR"
"534","HG01243","PUR"
"535","HG01247","PUR"
"536","HG01248","PUR"
"537","HG01249","PUR"
"538","HG01250","CLM"
"539","HG01251","CLM"
"540","HG01252","CLM"
"541","HG01253","CLM"
"542","HG01254","CLM"
"543","HG01255","CLM"
"544","HG01256","CLM"
"545","HG01257","CLM"
"546","HG01258","CLM"
"547","HG01259","CLM"
"548","HG01260","CLM"
"549","HG01261","CLM"
"550","HG01269","CLM"
"551","HG01271","CLM"
"552","HG01272","CLM"
"553","HG01273","CLM"
"554","HG01274","CLM"
"555","HG01275","CLM"
"556","HG01276","CLM"
"557","HG01277","CLM"
"558","HG01278","CLM"
"559","HG01279","CLM"
"560","HG01280","CLM"
"561","HG01281","CLM"
"562","HG01284","CLM"
"563","HG01286","PUR"
"564","HG01301","PUR"
"565","HG01302","PUR"
"566","HG01303","PUR"
"567","HG01305","PUR"
"568","HG01308","PUR"
"569","HG01311","PUR"
"570","HG01312","PUR"
"571","HG01322","PUR"
"572","HG01323","PUR"
"573","HG01324","PUR"
"574","HG01325","PUR"
"575","HG01326","PUR"
"576","HG01327","PUR"
"577","HG01334","GBR"
"578","HG01341","CLM"
"579","HG01342","CLM"
"580","HG01343","CLM"
"581","HG01344","CLM"
"582","HG01345","CLM"
"583","HG01346","CLM"
"584","HG01347","CLM"
"585","HG01348","CLM"
"586","HG01349","CLM"
"587","HG01350","CLM"
"588","HG01351","CLM"
"589","HG01352","CLM"
"590","HG01353","CLM"
"591","HG01354","CLM"
"592","HG01355","CLM"
"593","HG01356","CLM"
"594","HG01357","CLM"
"595","HG01358","CLM"
"596","HG01359","CLM"
"597","HG01360","CLM"
"598","HG01361","CLM"
"599","HG01362","CLM"
"600","HG01363","CLM"
"601","HG01364","CLM"
"602","HG01365","CLM"
"603","HG01366","CLM"
"604","HG01367","CLM"
"605","HG01369","CLM"
"606","HG01372","CLM"
"607","HG01374","CLM"
"608","HG01375","CLM"
"609","HG01376","CLM"
"610","HG01377","CLM"
"611","HG01378","CLM"
"612","HG01379","CLM"
"613","HG01383","CLM"
"614","HG01384","CLM"
"615","HG01385","CLM"
"616","HG01389","CLM"
"617","HG01390","CLM"
"618","HG01391","CLM"
"619","HG01392","PUR"
"620","HG01393","PUR"
"621","HG01394","PUR"
"622","HG01395","PUR"
"623","HG01396","PUR"
"624","HG01397","PUR"
"625","HG01398","PUR"
"626","HG01402","PUR"
"627","HG01403","PUR"
"628","HG01404","PUR"
"629","HG01405","PUR"
"630","HG01411","PUR"
"631","HG01412","PUR"
"632","HG01413","PUR"
"633","HG01414","PUR"
"634","HG01415","PUR"
"635","HG01431","CLM"
"636","HG01432","CLM"
"637","HG01433","CLM"
"638","HG01435","CLM"
"639","HG01437","CLM"
"640","HG01438","CLM"
"641","HG01439","CLM"
"642","HG01440","CLM"
"643","HG01441","CLM"
"644","HG01442","CLM"
"645","HG01443","CLM"
"646","HG01444","CLM"
"647","HG01445","CLM"
"648","HG01447","CLM"
"649","HG01452","CLM"
"650","HG01453","CLM"
"651","HG01454","CLM"
"652","HG01455","CLM"
"653","HG01456","CLM"
"654","HG01457","CLM"
"655","HG01459","CLM"
"656","HG01461","CLM"
"657","HG01462","CLM"
"658","HG01463","CLM"
"659","HG01464","CLM"
"660","HG01465","CLM"
"661","HG01466","CLM"
